,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
10,true,2013-08-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959378013001118'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959378013001118?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.gloenvcha.2013.07.005,https://api.elsevier.com/content/article/pii/S0959378013001118,Sustainable agricultural intensification or Jevons paradox? The role of public governance in tropical South America,M. G. Ceddia,Global Environmental Change,23,2013-10-31,1052,1063,10.1016/j.gloenvcha.2013.07.005,False,S0959378013001118,"{'author': [{'$': 'M. G. Ceddia'}, {'$': 'S. Sedlacek'}, {'$': 'S. Gomez-y-Paloma'}]}"
11,true,2013-08-21T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214241X13000072'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214241X13000072?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.aqpro.2013.07.006,https://api.elsevier.com/content/article/pii/S2214241X13000072,Is the Rebound Effect or Jevons Paradox a Useful Concept for better Management of Water Resources? Insights from the Irrigation Modernisation Process in Spain,A. Dumont,Aquatic Procedia,1,2013-12-31,64,76,10.1016/j.aqpro.2013.07.006,True,S2214241X13000072,"{'author': [{'$': 'A. Dumont'}, {'$': 'B. Mayor'}, {'$': 'E. López-Gunn'}]}"
12,true,2007-03-27T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1476945X07000098'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1476945X07000098?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecocom.2007.02.008,https://api.elsevier.com/content/article/pii/S1476945X07000098,Jevons’ Paradox and the myth of technological liberation,John M. Polimeni,Ecological Complexity,3,2006-12-31,344,353,10.1016/j.ecocom.2007.02.008,False,S1476945X07000098,"{'author': [{'$': 'John M. Polimeni'}, {'$': 'Raluca Iorgulescu Polimeni'}]}"
13,true,2021-03-07T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S221462962100075X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S221462962100075X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2021.101982,https://api.elsevier.com/content/article/pii/S221462962100075X,The Jevons paradox unravelled: A multi-level typology of rebound effects and mechanisms,Steffen Lange,Energy Research & Social Science,74,2021-04-30,101982,,10.1016/j.erss.2021.101982,True,S221462962100075X,"{'author': [{'$': 'Steffen Lange'}, {'$': 'Florian Kern'}, {'$': 'Tilman Santarius'}]}"
14,true,2000-05-18T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0301421500000240'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0301421500000240?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0301-4215(00)00024-0,https://api.elsevier.com/content/article/pii/S0301421500000240,"A view from the macro side: rebound, backfire, and Khazzoom–Brookes",Harry D. Saunders,Energy Policy,28,2000-06-30,439,449,10.1016/S0301-4215(00)00024-0,False,S0301421500000240,{'author': 'Harry D. Saunders'}
15,true,2010-01-27T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652609004144'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652609004144?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2009.12.020,https://api.elsevier.com/content/article/pii/S0959652609004144,The Jevons paradox and the myth of resource efficiency improvements,François Schneider,Journal of Cleaner Production,18,2010-04-30,600,602,10.1016/j.jclepro.2009.12.020,False,S0959652609004144,{'author': 'François Schneider'}
16,true,2019-08-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0301421519305105'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0301421519305105?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enpol.2019.110923,https://api.elsevier.com/content/article/pii/S0301421519305105,"Revisiting Jevons's paradox of energy rebound: Policy implications and empirical evidence in consumer-oriented financial incentives from the Japanese automobile market, 2006–2016",Sunbin Yoo,Energy Policy,133,2019-10-31,110923,,10.1016/j.enpol.2019.110923,False,S0301421519305105,"{'author': [{'$': 'Sunbin Yoo'}, {'$': 'Kyung Woong Koh'}, {'$': 'Naoki Wakamori'}]}"
17,true,2005-05-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0921800905001084'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0921800905001084?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecolecon.2005.03.020,https://api.elsevier.com/content/article/pii/S0921800905001084,Jevons' paradox,Blake Alcott,Ecological Economics,54,2005-07-01,9,21,10.1016/j.ecolecon.2005.03.020,False,S0921800905001084,{'author': 'Blake Alcott'}
18,true,2008-12-13T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0921800908004886'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0921800908004886?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecolecon.2008.08.025,https://api.elsevier.com/content/article/pii/S0921800908004886,The Jevons Paradox and the myth of resource efficiency improvements,John Peet,Ecological Economics,68,2009-03-15,1565,1566,10.1016/j.ecolecon.2008.08.025,False,S0921800908004886,{'author': 'John Peet'}
19,true,2012-08-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0921800912002741'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0921800912002741?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecolecon.2012.07.010,https://api.elsevier.com/content/article/pii/S0921800912002741,"William Stanley Jevons' <ce:italic>The Coal Question</ce:italic> (1865), beyond the rebound effect",Antoine Missemer,Ecological Economics,82,2012-10-31,97,103,10.1016/j.ecolecon.2012.07.010,False,S0921800912002741,{'author': 'Antoine Missemer'}
20,true,2019-04-17T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652619311941'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652619311941?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2019.04.115,https://api.elsevier.com/content/article/pii/S0959652619311941,Rebound effects in agricultural land and soil management: Review and analytical framework,Carsten Paul,Journal of Cleaner Production,227,2019-08-01,1054,1067,10.1016/j.jclepro.2019.04.115,True,S0959652619311941,"{'author': [{'$': 'Carsten Paul'}, {'$': 'Anja-Kristina Techen'}, {'$': 'Katharina Helming'}]}"
21,true,1999-07-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0306261999000306'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0306261999000306?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0306-2619(99)00030-6,https://api.elsevier.com/content/article/pii/S0306261999000306,Does energy efficiency save energy? The debate and its consequences,Horace Herring,Applied Energy,63,1999-07-31,209,226,10.1016/S0306-2619(99)00030-6,False,S0306261999000306,{'author': 'Horace Herring'}
22,true,2015-11-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2212567115010229'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2212567115010229?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S2212-5671(15)01022-9,https://api.elsevier.com/content/article/pii/S2212567115010229,The Economics and Finance of Energy Security,Maria-Floriana Popescu,Procedia Economics and Finance,27,2015-12-31,467,473,10.1016/S2212-5671(15)01022-9,True,S2212567115010229,{'author': 'Maria-Floriana Popescu'}
23,true,2020-10-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629620303819'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629620303819?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2020.101806,https://api.elsevier.com/content/article/pii/S2214629620303819,The ineffectiveness of efficiency: The paradoxical effects of state policy on energy consumption in the United States,Lazarus Adua,Energy Research & Social Science,71,2021-01-31,101806,,10.1016/j.erss.2020.101806,False,S2214629620303819,"{'author': [{'$': 'Lazarus Adua'}, {'$': 'Brett Clark'}, {'$': 'Richard York'}]}"
24,true,2012-11-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1040619012002412'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1040619012002412?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.tej.2012.10.004,https://api.elsevier.com/content/article/pii/S1040619012002412,Jevons ‘Rebound’ Theorists Draw Rebuffs from Efficiency Proponents,,The Electricity Journal,25,2012-10-31,1,3,10.1016/j.tej.2012.10.004,False,S1040619012002412,
0,true,2016-12-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0040162516308022'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0040162516308022?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.techfore.2016.12.001,https://api.elsevier.com/content/article/pii/S0040162516308022,A simple extension of dematerialization theory: Incorporation of technical progress and the rebound effect,Christopher L. Magee,Technological Forecasting and Social Change,117,2017-04-30,196,205,10.1016/j.techfore.2016.12.001,True,S0040162516308022,"{'author': [{'$': 'Christopher L. Magee'}, {'$': 'Tessaleno C. Devezas'}]}"
1,true,2011-08-06T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0921800911002680'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0921800911002680?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecolecon.2011.06.021,https://api.elsevier.com/content/article/pii/S0921800911002680,Promise and shortcomings of a green turn in recent policy responses to the “double crisis”,Olivia Bina,Ecological Economics,70,2011-10-15,2308,2316,10.1016/j.ecolecon.2011.06.021,False,S0921800911002680,"{'author': [{'$': 'Olivia Bina'}, {'$': 'Francesco La Camera'}]}"
2,true,2016-07-06T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0921800916307704'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0921800916307704?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecolecon.2016.06.023,https://api.elsevier.com/content/article/pii/S0921800916307704,Two paradoxes with one stone: A critical reading of ecological modernization,Tasos Hovardas,Ecological Economics,130,2016-10-31,1,7,10.1016/j.ecolecon.2016.06.023,False,S0921800916307704,{'author': 'Tasos Hovardas'}
3,true,2016-10-06T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1364032116305858'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1364032116305858?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.rser.2016.09.094,https://api.elsevier.com/content/article/pii/S1364032116305858,Building energy efficiency: A research branch made of paradoxes,Sergio Copiello,Renewable and Sustainable Energy Reviews,69,2017-03-31,1064,1076,10.1016/j.rser.2016.09.094,False,S1364032116305858,{'author': 'Sergio Copiello'}
4,true,2016-01-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0360544215016448'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0360544215016448?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.energy.2015.12.002,https://api.elsevier.com/content/article/pii/S0360544215016448,Applying the energy productivity index that considers maximized energy reduction on SADC (Southern Africa Development Community) members,Ming-Chung Chang,Energy,95,2016-01-15,313,323,10.1016/j.energy.2015.12.002,False,S0360544215016448,{'author': 'Ming-Chung Chang'}
5,true,2007-05-09T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780444508713501224'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780444508713501224?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-044450871-3/50122-4,https://api.elsevier.com/content/article/pii/B9780444508713501224,"Chapter 41: Stanley Jevons, <ce:italic>The theory of political economy</ce:italic>, first edition (1871)",Jean-Pierre Potier,Landmark Writings in Western Mathematics 1640-1940,,2005-12-31,534,543,10.1016/B978-044450871-3/50122-4,False,B9780444508713501224,"{'author': [{'$': 'Jean-Pierre Potier'}, {'$': 'Jan van Daal'}]}"
6,true,2000-01-11T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0039368199000308'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0039368199000308?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0039-3681(99)00030-8,https://api.elsevier.com/content/article/pii/S0039368199000308,Mechanical Rationality: Jevons and the Making of Economic Man,Harro Maas,Studies in History and Philosophy of Science Part A,30,1999-12-31,587,619,10.1016/S0039-3681(99)00030-8,False,S0039368199000308,{'author': 'Harro Maas'}
7,true,2018-06-11T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780124095489109108'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780124095489109108?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-409548-9.10910-8,https://api.elsevier.com/content/article/pii/B9780124095489109108,Flourishing Sustainably in the Anthropocene? Known Possibilities and Unknown Probabilities,Michael P. Totten,Reference Module in Earth Systems and Environmental Sciences,,2018-12-31,,,10.1016/B978-0-12-409548-9.10910-8,False,B9780124095489109108,{'author': 'Michael P. Totten'}
8,true,2021-05-17T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780081026717102787'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780081026717102787?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-08-102671-7.10278-7,https://api.elsevier.com/content/article/pii/B9780081026717102787,The Rebound Effect in Road Freight Transport,Tooraj Jamasb,International Encyclopedia of Transportation,,2021-12-31,402,406,10.1016/B978-0-08-102671-7.10278-7,False,B9780081026717102787,"{'author': [{'$': 'Tooraj Jamasb'}, {'$': 'Manuel Llorca'}]}"
9,true,2020-08-15T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0040162520310672'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0040162520310672?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.techfore.2020.120241,https://api.elsevier.com/content/article/pii/S0040162520310672,Trends in aviation: rebound effect and the struggle composites x aluminum,Tessaleno Devezas,Technological Forecasting and Social Change,160,2020-11-30,120241,,10.1016/j.techfore.2020.120241,False,S0040162520310672,{'author': 'Tessaleno Devezas'}
10,true,1998-06-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0921800996000778'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0921800996000778?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0921-8009(96)00077-8,https://api.elsevier.com/content/article/pii/S0921800996000778,Perceptual and structural barriers to investing in natural capital: Economics from an ecological footprint perspective,Mathis Wackernagel,Ecological Economics,20,1997-01-31,3,24,10.1016/S0921-8009(96)00077-8,False,S0921800996000778,"{'author': [{'$': 'Mathis Wackernagel'}, {'$': 'William E. Rees'}]}"
11,true,2021-03-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0262407921003547'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0262407921003547?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0262-4079(21)00354-7,https://api.elsevier.com/content/article/pii/S0262407921003547,Climate targets at risk from efficiency paradox,Adam Vaughan,New Scientist,249,2021-03-06,15,,10.1016/S0262-4079(21)00354-7,False,S0262407921003547,{'author': 'Adam Vaughan'}
12,true,2019-08-27T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1389934118305021'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1389934118305021?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.forpol.2019.102001,https://api.elsevier.com/content/article/pii/S1389934118305021,Indigenous peoples' land rights and agricultural expansion in Latin America: A dynamic panel data approach,Michele Graziano Ceddia,Forest Policy and Economics,109,2019-12-31,102001,,10.1016/j.forpol.2019.102001,False,S1389934118305021,"{'author': [{'$': 'Michele Graziano Ceddia'}, {'$': 'Ulrich Gunter'}, {'$': 'Pasquale Pazienza'}]}"
13,true,2020-02-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629620300517'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629620300517?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2020.101474,https://api.elsevier.com/content/article/pii/S2214629620300517,Reducing the web's carbon footprint: Does improved electrical efficiency reduce webserver electricity use?,Ronald B. Mitchell,Energy Research & Social Science,65,2020-07-31,101474,,10.1016/j.erss.2020.101474,False,S2214629620300517,"{'author': [{'$': 'Ronald B. Mitchell'}, {'$': 'Richard York'}]}"
14,true,2020-10-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959378020307652'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959378020307652?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.gloenvcha.2020.102182,https://api.elsevier.com/content/article/pii/S0959378020307652,"A scale-based framework to understand the promises, pitfalls and paradoxes of irrigation efficiency to meet major water challenges",Bruce Lankford,Global Environmental Change,65,2020-11-30,102182,,10.1016/j.gloenvcha.2020.102182,True,S0959378020307652,"{'author': [{'$': 'Bruce Lankford'}, {'$': 'Alvar Closas'}, {'$': 'Margreet Zwarteveen'}]}"
