,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier,prism:isbn,pubmed-id
10,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85117594317'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85117594317?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117594317&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117594317&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85117594317,SCOPUS_ID:85117594317,2-s2.0-85117594317,"Households’ electrical energy conservation and management: An ecological break-through, or the same old consumption-growth path?",Bohdanowicz Z.,Energies,,14,,2021-10-01,October-2 2021,10.3390/en14206829,,0,"[{'@_fa': 'true', 'affilname': 'National Information Processing Institute', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Uniwersytet Warszawski', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}]",Journal,ar,Article,6829,62932,1,True,19961073,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",20,,
11,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85115832457'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85115832457?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115832457&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115832457&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85115832457,SCOPUS_ID:85115832457,2-s2.0-85115832457,Are you a typical energy consumer? Socioeconomic characteristics of behavioural segmentation representatives of 8 european countries,Słupik S.,Energies,,14,,2021-10-01,October-1 2021,10.3390/en14196109,,1,"[{'@_fa': 'true', 'affilname': 'University of Economics in Katowice', 'affiliation-city': 'Katowice', 'affiliation-country': 'Poland'}]",Journal,ar,Article,6109,62932,1,True,19961073,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",19,,
12,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85111826791'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85111826791?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111826791&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111826791&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2214629621003042'}]",https://api.elsevier.com/content/abstract/scopus_id/85111826791,SCOPUS_ID:85111826791,2-s2.0-85111826791,"Motivations, barriers and risks of smart home adoption: From systematic literature review to conceptual framework",Li W.,Energy Research and Social Science,22146296,80,,2021-10-01,October 2021,10.1016/j.erss.2021.102211,S2214629621003042,2,"[{'@_fa': 'true', 'affilname': 'Queensland University of Technology', 'affiliation-city': 'Brisbane', 'affiliation-country': 'Australia'}]",Journal,re,Review,102211,21100325067,0,False,,,,,,
13,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85108987157'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85108987157?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108987157&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108987157&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0306261921007224'}]",https://api.elsevier.com/content/abstract/scopus_id/85108987157,SCOPUS_ID:85108987157,2-s2.0-85108987157,Impacts of home energy management systems on electricity consumption,Tuomela S.,Applied Energy,03062619,299,,2021-10-01,1 October 2021,10.1016/j.apenergy.2021.117310,S0306261921007224,0,"[{'@_fa': 'true', 'affilname': 'University of Oulu', 'affiliation-city': 'Oulu', 'affiliation-country': 'Finland'}]",Journal,ar,Article,117310,28801,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
14,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85107716805'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85107716805?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107716805&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107716805&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2213138821003805'}]",https://api.elsevier.com/content/abstract/scopus_id/85107716805,SCOPUS_ID:85107716805,2-s2.0-85107716805,A review on virtual power plant for energy management,Rouzbahani H.M.,Sustainable Energy Technologies and Assessments,22131388,47,,2021-10-01,October 2021,10.1016/j.seta.2021.101370,S2213138821003805,3,"[{'@_fa': 'true', 'affilname': 'University of Guelph', 'affiliation-city': 'Guelph', 'affiliation-country': 'Canada'}]",Journal,re,Review,101370,21100239262,0,False,,,,,,
15,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85111024646'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85111024646?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111024646&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111024646&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0378778821003789'}]",https://api.elsevier.com/content/abstract/scopus_id/85111024646,SCOPUS_ID:85111024646,2-s2.0-85111024646,"Do in-home displays affect end-user consumptions? A mixed method analysis of electricity, heating and water use in Danish apartments",Canale L.,Energy and Buildings,03787788,246,,2021-09-01,1 September 2021,10.1016/j.enbuild.2021.111094,S0378778821003789,2,"[{'@_fa': 'true', 'affilname': 'Universita di Cassino e del Lazio Meridionale', 'affiliation-city': 'Cassino', 'affiliation-country': 'Italy'}]",Journal,ar,Article,111094,29359,0,False,,,,,,
16,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85106321831'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85106321831?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106321831&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106321831&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1364032121004937'}]",https://api.elsevier.com/content/abstract/scopus_id/85106321831,SCOPUS_ID:85106321831,2-s2.0-85106321831,Non-technical losses: A systematic contemporary article review,Savian F.d.S.,Renewable and Sustainable Energy Reviews,13640321,147,,2021-09-01,September 2021,10.1016/j.rser.2021.111205,S1364032121004937,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Santa Maria', 'affiliation-city': 'Santa Maria', 'affiliation-country': 'Brazil'}]",Journal,re,Review,111205,27567,0,False,18790690,,,,,
17,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85107901429'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85107901429?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107901429&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107901429&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652621020631'}]",https://api.elsevier.com/content/abstract/scopus_id/85107901429,SCOPUS_ID:85107901429,2-s2.0-85107901429,Environmental saving potentials of a smart home system from a life cycle perspective: How green is the smart home?,Pohl J.,Journal of Cleaner Production,09596526,312,,2021-08-20,20 August 2021,10.1016/j.jclepro.2021.127845,S0959652621020631,0,"[{'@_fa': 'true', 'affilname': 'Technical University of Berlin', 'affiliation-city': 'Berlin', 'affiliation-country': 'Germany'}]",Journal,ar,Article,127845,19167,0,False,,,,,,
18,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85113455783'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85113455783?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113455783&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113455783&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85113455783,SCOPUS_ID:85113455783,2-s2.0-85113455783,"Telework, hybrid work and the united nation’s sustainable development goals: Towards policy coherence",Moglia M.,Sustainability (Switzerland),,13,,2021-08-02,2 August 2021,10.3390/su13169222,,1,"[{'@_fa': 'true', 'affilname': 'Swinburne University of Technology', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}]",Journal,ar,Article,9222,21100240100,1,True,20711050,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",16,,
19,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85108351095'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85108351095?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108351095&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108351095&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0160791X21001135'}]",https://api.elsevier.com/content/abstract/scopus_id/85108351095,SCOPUS_ID:85108351095,2-s2.0-85108351095,Will researching digital technology really empower green development?,Wang L.,Technology in Society,0160791X,66,,2021-08-01,August 2021,10.1016/j.techsoc.2021.101638,S0160791X21001135,0,"[{'@_fa': 'true', 'affilname': 'China Three Gorges University', 'affiliation-city': 'Yichang', 'affiliation-country': 'China'}]",Journal,ar,Article,101638,18676,0,False,,,,,,
20,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85105393910'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85105393910?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105393910&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105393910&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85105393910,SCOPUS_ID:85105393910,2-s2.0-85105393910,Power and Resource Allocation in Wireless Communication Network,Nazir M.,Wireless Personal Communications,09296212,119,3529-3552,2021-08-01,August 2021,10.1007/s11277-021-08419-x,,1,"[{'@_fa': 'true', 'affilname': 'Lahore College for Women University', 'affiliation-city': 'Lahore', 'affiliation-country': 'Pakistan'}]",Journal,re,Review,,20725,0,False,1572834X,,,4,,
